!SIL	SIL
当时	d^II OM^MM;1 N^MF s^MI iM^FF;4
当晚	d^II OM^MM;1 N^MF m^MI aM^MM;5 n^FF
当然	d^II OM^MM;1 N^MF j^MI iM^MM;4 n^FF
当街	d^II OM^MM;1 N^MF g^MI aMj^FF;1
录	l^II uM^MM;6 k^FF
录下	l^II uM^MM;6 k^MF h^MI aM^FF;6
录影	l^II uM^MM;6 k^MF j^MI iM^MM;2 N^FF
录影带	l^II uM^MM;6 k^MF j^MI iM^MM;2 N^MF d^MI aMj^FF;2
录得	l^II uM^MM;6 k^MF d^MI M6^MM;1 k^FF
录成	l^II uM^MM;6 k^MF s^MI iM^MM;4 N^FF
形	j^II iM^MM;4 N^FF
形体	j^II iM^MM;4 N^MF t^MI M6j^FF;2
形势	j^II iM^MM;4 N^MF s^MI M6j^FF;3
形同	j^II iM^MM;4 N^MF t^MI uM^MM;4 N^FF
形容	j^II iM^MM;4 N^MF j^MI uM^MM;4 N^FF
形式	j^II iM^MM;4 N^MF s^MI iM^MM;1 k^FF
形成	j^II iM^MM;4 N^MF s^MI iM^MM;4 N^FF
形状	j^II iM^MM;4 N^MF dz^MI OM^MM;6 N^FF
形象	j^II iM^MM;4 N^MF dz^MI M9M^MM;6 N^FF
彩	ts^II OMj^FF;2
彩排	ts^II OMj^MF;2 p^MI aMj^FF;4
彬	b^II M6^MM;1 n^FF
彭	p^II aM^MM;4 N^FF
彭定康	p^II aM^MM;4 N^MF d^MI iM^MM;6 N^MF h^MI OM^MM;1 N^FF
彭珮云	p^II aM^MM;4 N^MF p^MI uMj^MF;3 w^MI M6^MM;4 n^FF
影	j^II iM^MM;2 N^FF
影像	j^II iM^MM;2 N^MF dz^MI M9M^MM;6 N^FF
影响	j^II iM^MM;2 N^MF h^MI M9M^MM;2 N^FF
影响力	j^II iM^MM;2 N^MF h^MI M9M^MM;2 N^MF l^MI iM^MM;6 k^FF
影圈	j^II iM^MM;2 N^MF h^MI yM^MM;1 n^FF
影带	j^II iM^MM;2 N^MF d^MI aMj^FF;2
影戏	j^II iM^MM;2 N^MF h^MI ej^FF;3
影片	j^II iM^MM;2 N^MF p^MI iM^MM;2 n^FF
影碟	j^II iM^MM;2 N^MF d^MI iM^MM;2 p^FF
影迷	j^II iM^MM;2 N^MF m^MI M6j^FF;4
彻夜	ts^II iM^MM;3 t^MF j^MI EM^FF;6
彻夜难眠	ts^II iM^MM;3 t^MF j^MI EM^MF;6 l^MI aM^MM;4 n^MF m^MI iM^MM;4 n^FF
彻底	ts^II iM^MM;3 t^MF d^MI M6j^FF;2
彻底解决	ts^II iM^MM;3 t^MF d^MI M6j^MF;2 g^MI aMj^MF;2 k^MI yM^MM;3 t^FF
彻查	ts^II iM^MM;3 t^MF ts^MI aM^FF;4
彼	p^II ej^FF;2
彼此	b^II ej^MF;2 ts^MI iM^FF;2
往	w^II OM^MM;5 N^FF
往上	w^II OM^MM;5 N^MF s^MI M9M^MM;6 N^FF
往常	w^II OM^MM;5 N^MF s^MI M9M^MM;4 N^FF
往年	w^II OM^MM;5 N^MF n^MI iM^MM;4 n^FF
往往	w^II OM^MM;5 N^MF w^MI OM^MM;5 N^FF
往来	w^II OM^MM;5 N^MF l^MI OMj^FF;4
往返	w^II OM^MM;5 N^MF f^MI aM^MM;2 n^FF
征收	dz^II iM^MM;1 N^MF s^MI M6w^FF;1
征税	dz^II iM^MM;1 N^MF s^MI M9y^FF;3
径向	g^II iM^MM;3 N^MF h^MI M9M^MM;3 N^FF
径赛	g^II iM^MM;3 N^MF ts^MI OMj^FF;3
待	d^II OMj^FF;6
待毙	d^II OMj^MF;6 b^MI M6j^FF;6
很	h^II M6^MM;2 n^FF
很久	h^II M6^MM;2 n^MF g^MI M6w^FF;2
很久没	h^II M6^MM;2 n^MF g^MI M6w^MF;2 m^MI uM^MM;6 t^FF
很困	h^II M6^MM;2 n^MF kw^MI M6^MM;3 n^FF
很多	h^II M6^MM;2 n^MF d^MI OM^FF;1
很大	h^II M6^MM;2 n^MF d^MI aMj^FF;6
很少	h^II M6^MM;2 n^MF s^MI iw^FF;2
很远	h^II M6^MM;2 n^MF j^MI yM^MM;5 n^FF
很难说	h^II M6^MM;2 n^MF n^MI aM^MM;4 n^MF s^MI yM^MM;3 t^FF
律师	l^II M9M^MM;6 t^MF s^MI iM^FF;1
律师行	l^II M9M^MM;6 t^MF s^MI iM^MF;1 h^MI OM^MM;2 N^FF
律师费	l^II M9M^MM;6 t^MF s^MI iM^MF;1 f^MI M6j^FF;3
徐	ts^II M9y^FF;4
徒	t^II ow^FF;4
徒刑	t^II ow^MF;4 j^MI iM^MM;4 N^FF
徒步	t^II ow^MF;4 b^MI ow^FF;6
得	d^II M6^MM;1 k^FF
得体	d^II M6^MM;1 k^MF t^MI M6j^FF;2
得出	d^II M6^MM;1 k^MF ts^MI M9M^MM;1 t^FF
得分	d^II M6^MM;1 k^MF f^MI M6^MM;1 n^FF
得到	d^II M6^MM;1 k^MF d^MI ow^FF;3
得奖	d^II M6^MM;1 k^MF dz^MI M9M^MM;2 N^FF
得悉	d^II M6^MM;1 k^MF s^MI iM^MM;1 k^FF
得愈	d^II M6^MM;1 k^MF j^MI yM^MM;6 t^FF
得成	d^II M6^MM;1 k^MF s^MI iM^MM;4 N^FF
得手	d^II M6^MM;1 k^MF s^MI M6w^FF;2
得来	d^II M6^MM;1 k^MF l^MI OMj^FF;4
得气	d^II M6^MM;1 k^MF h^MI ej^FF;3
得法	d^II M6^MM;1 k^MF f^MI aM^MM;3 t^FF
得票	d^II M6^MM;1 k^MF p^MI iw^FF;3
得胜	d^II M6^MM;1 k^MF s^MI iM^MM;3 N^FF
得该	d^II M6^MM;1 k^MF g^MI OMj^FF;1
得闲	d^II M6^MM;1 k^MF h^MI aM^MM;4 n^FF
循	ts^II M9M^MM;4 n^FF
循环	ts^II M9M^MM;4 n^MF w^MI aM^MM;4 n^FF
循环赛	ts^II M9M^MM;4 n^MF w^MI aM^MM;4 n^MF ts^MI OMj^FF;3
微	m^II ej^FF;4
微型	m^II ej^MF;4 j^MI iM^MM;4 N^FF
微处理器	m^II ej^MF;4 ts^MI yM^MF;5 l^MI ej^MF;5 h^MI ej^FF;3
微弱	m^II ej^MF;4 j^MI M9M^MM;6 k^FF
微微	m^II ej^MF;4 m^MI ej^FF;4
微波	m^II ej^MF;4 b^MI OM^FF;1
微波炉	m^II ej^MF;4 b^MI OM^MF;1 l^MI ow^FF;4
微薄	m^II ej^MF;4 b^MI OM^MM;6 k^FF
德	d^II M6^MM;1 k^FF
德利	d^II M6^MM;1 k^MF l^MI ej^FF;5
德国	d^II M6^MM;1 k^MF gw^MI OM^MM;3 k^FF
德国队	d^II M6^MM;1 k^MF gw^MI OM^MM;3 k^MF d^MI M9y^FF;2
德斯	d^II M6^MM;1 k^MF s^MI iM^FF;1
德里	d^II M6^MM;1 k^MF l^MI ej^FF;5
心	s^II M6^MM;1 m^FF
心光	s^II M6^MM;1 m^MF gw^MI OM^MM;1 N^FF
心内	s^II M6^MM;1 m^MF n^MI OMj^FF;6
心平气和	s^II M6^MM;1 m^MF p^MI iM^MM;4 N^MF h^MI ej^MF;3 w^MI OM^FF;4
心得	s^II M6^MM;1 m^MF d^MI M6^MM;1 k^FF
心态	s^II M6^MM;1 m^MF t^MI aMj^FF;3
心情	s^II M6^MM;1 m^MF ts^MI iM^MM;4 N^FF
心所	s^II M6^MM;1 m^MF s^MI OM^FF;2
心气	s^II M6^MM;1 m^MF h^MI ej^FF;3
心灵	s^II M6^MM;1 m^MF l^MI iM^MM;4 N^FF
心理	s^II M6^MM;1 m^MF l^MI ej^FF;5
心理压力	s^II M6^MM;1 m^MF l^MI ej^MF;5 N^MI aM^MM;3 t^MF l^MI iM^MM;6 k^FF
心理学	s^II M6^MM;1 m^MF l^MI ej^MF;5 h^MI OM^MM;6 k^FF
心理学家	s^II M6^MM;1 m^MF l^MI ej^MF;5 h^MI OM^MM;6 k^MF g^MI aM^FF;1
心皮	s^II M6^MM;1 m^MF p^MI ej^FF;4
心知	s^II M6^MM;1 m^MF dz^MI iM^FF;1
心知肚明	s^II M6^MM;1 m^MF dz^MI iM^MF;1 t^MI ow^MF;5 m^MI iM^MM;4 N^FF
心跳	s^II M6^MM;1 m^MF t^MI iw^FF;3
心里	s^II M6^MM;1 m^MF l^MI M9y^FF;5
必	b^II iM^MM;1 t^FF
必备	b^II iM^MM;1 t^MF b^MI ej^FF;6
必成	b^II iM^MM;1 t^MF s^MI iM^MM;4 N^FF
必是	b^II iM^MM;1 t^MF s^MI iM^FF;6
必能	b^II iM^MM;1 t^MF n^MI M6^MM;4 N^FF
必要	b^II iM^MM;1 t^MF j^MI iw^FF;3
必需	b^II iM^MM;1 t^MF s^MI M9y^FF;1
必需品	b^II iM^MM;1 t^MF s^MI M9y^MF;1 b^MI M6^MM;2 n^FF
必须	b^II iM^MM;1 t^MF s^MI M9y^FF;1
忆述	j^II iM^MM;1 k^MF s^MI M9M^MM;6 t^FF
忌	g^II ej^FF;6
忍	j^II M6^MM;2 n^FF
忍不住	j^II M6^MM;2 n^MF b^MI M6^MM;1 t^MF dz^MI yM^FF;6
忍得	j^II M6^MM;2 n^MF d^MI M6^MM;1 k^FF
忍痛	j^II M6^MM;2 n^MF t^MI uM^MM;3 N^FF
忍让	j^II M6^MM;2 n^MF j^MI M9M^MM;6 N^FF
忘却	m^II OM^MM;4 N^MF k^MI M9M^MM;3 k^FF
忘带	m^II OM^MM;4 N^MF d^MI aMj^FF;3
忘记	m^II OM^MM;4 N^MF g^MI ej^FF;3
忙	m^II OM^MM;4 N^FF
忠	dz^II uM^MM;1 N^FF
忧虑	j^II M6w^MF;1 l^MI M9y^FF;6
快	f^II aMj^FF;3
快报	f^II aMj^MF;3 b^MI ow^FF;3
快捷	f^II aMj^MF;3 dz^MI iM^MM;3 t^FF
快玩	f^II aMj^MF;3 w^MI aM^MM;2 n^FF
快答	f^II aMj^MF;3 d^MI aM^MM;3 p^FF
快艇	f^II aMj^MF;3 t^MI EM^MM;5 N^FF
快译	f^II aMj^MF;3 j^MI iM^MM;6 k^FF
快译通	f^II aMj^MF;3 j^MI iM^MM;6 k^MF t^MI uM^MM;1 N^FF
快餐	f^II aMj^MF;3 ts^MI aM^MM;1 n^FF
快餐店	f^II aMj^MF;3 ts^MI aM^MM;1 n^MF d^MI iM^MM;3 m^FF
念	n^II iM^MM;6 m^FF
念及	n^II iM^MM;6 m^MF k^MI M6^MM;6 p^FF
念头	l^II iM^MM;6 m^MF t^MI M6w^FF;4
念成	n^II iM^MM;6 m^MF s^MI iM^MM;4 N^FF
忽上忽下	f^II M6^MM;1 t^MF s^MI M9M^MM;5 N^MF f^MI M6^MM;1 t^MF h^MI aM^FF;6
忽略	f^II M6^MM;1 t^MF l^MI M9M^MM;6 k^FF
忿忿	f^II M6^MM;5 n^MF f^MI M6^MM;5 n^FF
忿忿不平	f^II M6^MM;5 n^MF f^MI M6^MM;5 n^MF b^MI M6^MM;1 t^MF p^MI iM^MM;4 N^FF
怀	w^II aMj^FF;4
怀孕	w^II aMj^MF;4 j^MI M6^MM;6 n^FF
怀孕期	w^II aMj^MF;4 j^MI M6^MM;6 n^MF k^MI ej^FF;4
怀疑	w^II aMj^MF;4 j^MI iM^FF;4
态度	t^II aMj^MF;3 d^MI ow^FF;6
怎	dz^II M6^MM;2 m^FF
怎样	dz^II M6^MM;2 m^MF j^MI M9M^MM;6 N^FF
怕	p^II aM^FF;3
怕麻烦	p^II aM^MF;3 m^MI aM^MF;4 f^MI aM^MM;4 n^FF
思想	s^II iM^MF;1 s^MI M9M^MM;2 N^FF
怠慢	t^II OMj^MF;5 m^MI aM^MM;6 n^FF
怡	j^II iM^FF;4
急	g^II M6^MM;1 p^FF
急于	g^II M6^MM;1 p^MF j^MI yM^FF;1
急剧	g^II M6^MM;1 p^MF k^MI EM^MM;6 k^FF
急忙	g^II M6^MM;1 p^MF m^MI OM^MM;4 N^FF
急救	g^II M6^MM;1 p^MF g^MI M6w^FF;3
性	s^II iM^MM;3 N^FF
性健康	s^II iM^MM;3 N^MF g^MI iM^MM;6 n^MF h^MI OM^MM;1 N^FF
性情	s^II iM^MM;3 N^MF ts^MI iM^MM;4 N^FF
性格	s^II iM^MM;3 N^MF g^MI aM^MM;3 k^FF
性药物	s^II iM^MM;3 N^MF j^MI M9M^MM;6 k^MF m^MI M6^MM;6 t^FF
性质	s^II iM^MM;3 N^MF dz^MI M6^MM;1 t^FF
性贫血	s^II iM^MM;3 N^MF p^MI M6^MM;4 n^MF h^MI yM^MM;3 t^FF
怪	gw^II aMj^FF;3
怪不得	gw^II aMj^MF;3 b^MI M6^MM;1 t^MF d^MI M6^MM;1 k^FF
怪兽	gw^II aMj^MF;3 s^MI M6w^FF;3
怪怪	gw^II aMj^MF;3 gw^MI aMj^FF;3
怪物	gw^II aMj^MF;3 m^MI M6^MM;6 t^FF
总	dz^II uM^MM;2 N^FF
总会	dz^II uM^MM;2 N^MF w^MI uMj^FF;3
总体	dz^II uM^MM;2 N^MF t^MI M6j^FF;2
总共	dz^II uM^MM;2 N^MF g^MI uM^MM;6 N^FF
总务	dz^II uM^MM;2 N^MF m^MI ow^FF;6
总务厅	dz^II uM^MM;2 N^MF m^MI ow^MF;6 t^MI EM^MM;1 N^FF
总成	dz^II uM^MM;2 N^MF s^MI iM^MM;4 N^FF
总成交	dz^II uM^MM;2 N^MF s^MI iM^MM;4 N^MF g^MI aMw^FF;1
总是	dz^II uM^MM;2 N^MF s^MI iM^FF;6
总督	dz^II uM^MM;2 N^MF d^MI uM^MM;1 k^FF
总算	dz^II uM^MM;2 N^MF s^MI yM^MM;3 n^FF
总经理	dz^II uM^MM;2 N^MF g^MI iM^MM;1 N^MF l^MI ej^FF;5
总统	dz^II uM^MM;2 N^MF t^MI uM^MM;2 N^FF
总统府	dz^II uM^MM;2 N^MF t^MI uM^MM;2 N^MF f^MI uM^FF;2
总编	dz^II uM^MM;2 N^MF p^MI iM^MM;1 n^FF
总编辑	dz^II uM^MM;2 N^MF p^MI iM^MM;1 n^MF ts^MI M6^MM;1 p^FF
总营业额	dz^II uM^MM;2 N^MF j^MI iM^MM;4 N^MF j^MI iM^MM;6 p^MF N^MI aM^MM;2 k^FF
总行	dz^II uM^MM;2 N^MF h^MI OM^MM;2 N^FF
总资产	dz^II uM^MM;2 N^MF dz^MI iM^MF;1 ts^MI aM^MM;2 n^FF
总部	dz^II uM^MM;2 N^MF b^MI ow^FF;6
总面积	dz^II uM^MM;2 N^MF m^MI iM^MM;6 n^MF dz^MI iM^MM;1 k^FF
恋情	l^II yM^MM;2 n^MF ts^MI iM^MM;4 N^FF
恐吓	h^II uM^MM;2 N^MF h^MI aM^MM;3 k^FF
恐怕	h^II uM^MM;2 N^MF p^MI aM^FF;3
恐怖	h^II uM^MM;2 N^MF b^MI ow^FF;3
恐怖袭击	h^II uM^MM;2 N^MF b^MI ow^MF;3 dz^MI aM^MM;6 p^MF g^MI iM^MM;1 k^FF
恐惧	h^II uM^MM;2 N^MF g^MI M9y^FF;6
恐慌	h^II uM^MM;2 N^MF f^MI OM^MM;1 N^FF
恐慌性	h^II uM^MM;2 N^MF f^MI OM^MM;1 N^MF s^MI iM^MM;3 N^FF
恐防	h^II uM^MM;2 N^MF f^MI OM^MM;4 N^FF
恒	h^II M6^MM;4 N^FF
恒指	h^II M6^MM;4 N^MF dz^MI iM^FF;2
恒温	h^II M6^MM;4 N^MF w^MI M6^MM;1 n^FF
恒温器	h^II M6^MM;4 N^MF w^MI M6^MM;1 n^MF h^MI ej^FF;3
恒生	h^II M6^MM;4 N^MF s^MI M6^MM;1 N^FF
恢复	f^II uMj^MF;1 f^MI uM^MM;6 k^FF
恤衫	s^II M9M^MM;1 t^MF s^MI aM^MM;1 m^FF
恨铁不成钢	h^II M6^MM;6 n^MF t^MI iM^MM;3 t^MF b^MI M6^MM;1 t^MF s^MI iM^MM;4 N^MF g^MI OM^MM;3 N^FF
恩	j^II M6^MM;1 n^FF
恭喜	g^II uM^MM;1 N^MF h^MI ej^FF;2
息	s^II iM^MM;1 k^FF
息差	s^II iM^MM;1 k^MF ts^MI aM^FF;1
息率	s^II iM^MM;1 k^MF l^MI M9M^MM;2 t^FF
恰恰	h^II M6^MM;1 p^MF h^MI M6^MM;1 p^FF
恰恰相反	h^II M6^MM;1 p^MF h^MI M6^MM;1 p^MF s^MI M9M^MM;1 N^MF f^MI aM^MM;2 n^FF
恶	OM^II;3 k^FF
恶作剧	OM^II;3 k^MF dz^MI OM^MM;3 k^MF k^MI EM^MM;6 k^FF
恶劣	N^II OM^MM;3 k^MF l^MI yM^MM;6 t^FF
恶化	OM^II;3 k^MF f^MI aM^FF;3
恶斗	OM^II;3 k^MF d^MI M6w^FF;3
恶极	OM^II;3 k^MF g^MI iM^MM;6 k^FF
恶果	OM^II;3 k^MF gw^MI OM^FF;2
恶梦	OM^II;3 k^MF m^MI uM^MM;6 N^FF
恶魔	N^II OM^MM;3 k^MF m^MI OM^FF;1
悟空	N^II;4 h^MI uM^MM;1 N^FF
悠闲	j^II M6w^MF;4 h^MI aM^MM;4 n^FF
患	w^II aM^MM;6 n^FF
患上	w^II aM^MM;6 n^MF s^MI M9M^MM;5 N^FF
患有	w^II aM^MM;6 n^MF j^MI M6w^FF;5
患者	w^II aM^MM;6 n^MF dz^MI EM^FF;2
悬殊	j^II yM^MM;4 n^MF s^MI yM^MM;4 n^FF
悲从中来	b^II ej^MF;1 ts^MI uM^MM;4 N^MF dz^MI uM^MM;1 N^MF l^MI OMj^FF;4
悲剧	b^II ej^MF;1 k^MI EM^MM;6 k^FF
悲哀	b^II ej^MF;1 OMj^FI;1
悲惨	b^II ej^MF;1 ts^MI aM^MM;2 m^FF
情况	ts^II iM^MM;4 N^MF f^MI OM^MM;3 N^FF
情味	ts^II iM^MM;4 N^MF m^MI ej^FF;6
情形	ts^II iM^MM;4 N^MF j^MI iM^MM;4 N^FF
情怀	ts^II iM^MM;4 N^MF w^MI aMj^FF;4
情感	ts^II iM^MM;4 N^MF g^MI M6^MM;2 m^FF
情报	ts^II iM^MM;4 N^MF b^MI ow^FF;3
情有独钟	ts^II iM^MM;4 N^MF j^MI M6w^MF;5 d^MI uM^MM;6 k^MF dz^MI uM^MM;1 N^FF
情真	ts^II iM^MM;4 N^MF dz^MI M6^MM;1 n^FF
情绪	ts^II iM^MM;4 N^MF s^MI M9y^FF;5
情调	ts^II iM^MM;4 N^MF d^MI iw^FF;6
惊	g^II EM^MM;1 N^FF
惊动	g^II iM^MM;1 N^MF d^MI uM^MM;6 N^FF
惊醒	g^II iM^MM;1 N^MF s^MI iM^MM;2 N^FF
惊险	g^II iM^MM;1 N^MF h^MI iM^MM;2 m^FF
惊险刺激	g^II iM^MM;1 N^MF h^MI iM^MM;2 m^MF ts^MI iM^MF;3 g^MI iM^MM;1 k^FF
惋	j^II yM^MM;2 n^FF
惟	w^II M6j^FF;4
惟恐	w^II M6j^MF;4 h^MI uM^MM;2 N^FF
惟有	w^II M6j^MF;4 j^MI M6w^FF;5
惟独	w^II M6j^MF;4 d^MI uM^MM;6 k^FF
惠	w^II M6j^FF;6
惧怕	g^II M9y^MF;6 p^MI aM^FF;3
惨	ts^II aM^MM;2 m^FF
惨剧	ts^II aM^MM;2 m^MF k^MI EM^MM;6 k^FF
惨案	ts^II aM^MM;2 m^MF N^MI OM^MM;3 n^FF
惨烈	ts^II aM^MM;2 m^MF l^MI iM^MM;6 t^FF
惨败	ts^II aM^MM;2 m^MF b^MI aMj^FF;6
惩	ts^II iM^MM;4 N^FF
惩处	ts^II iM^MM;4 N^MF ts^MI yM^FF;5
惩罚	ts^II iM^MM;4 N^MF f^MI M6^MM;6 t^FF
惩罚性	ts^II iM^MM;4 N^MF f^MI M6^MM;6 t^MF s^MI iM^MM;3 N^FF
惭愧	ts^II aM^MM;4 n^MF kw^MI M6j^FF;5
惯例	gw^II aM^MM;3 n^MF l^MI M6j^FF;6
想	s^II M9M^MM;2 N^FF
想不到	s^II M9M^MM;2 N^MF b^MI M6^MM;1 t^MF d^MI ow^FF;3
想像	s^II M9M^MM;2 N^MF dz^MI M9M^MM;6 N^FF
想像力	s^II M9M^MM;2 N^MF dz^MI M9M^MM;6 N^MF l^MI iM^MM;6 k^FF
想去	s^II M9M^MM;2 N^MF h^MI M9y^FF;3
想学	s^II M9M^MM;2 N^MF h^MI OM^MM;6 k^FF
想成	s^II M9M^MM;2 N^MF s^MI iM^MM;4 N^FF
想起	s^II M9M^MM;2 N^MF h^MI ej^FF;2
惹来	j^II EM^MF;5 l^MI OMj^FF;4
惹起	j^II EM^MF;5 h^MI ej^FF;2
愁	s^II M6w^FF;4
愁眉	s^II M6w^MF;4 m^MI ej^FF;4
愁眉不展	s^II M6w^MF;4 m^MI ej^MF;4 b^MI M6^MM;1 t^MF dz^MI iM^MM;2 n^FF
愈	j^II yM^FF;6
愈差	j^II yM^MM;6 t^MF ts^MI aM^FF;1
愈来	j^II yM^MM;6 t^MF l^MI OMj^FF;4
愈来愈	j^II yM^MM;6 t^MF l^MI OMj^MF;4 j^MI yM^MM;6 t^FF
意	j^II iM^FF;3
意义	j^II iM^MF;3 j^MI iM^FF;6
意味	j^II iM^MF;3 m^MI ej^FF;6
意味著	j^II iM^MF;3 m^MI ej^MF;6 dz^MI M9M^MM;6 k^FF
意在	j^II iM^MF;3 dz^MI OMj^FF;6
意外	j^II iM^MF;3 N^MI OMj^FF;6
意大利	j^II iM^MF;3 d^MI aMj^MF;6 l^MI ej^FF;6
意愿	j^II iM^MF;3 j^MI yM^MM;6 n^FF
意料	j^II iM^MF;3 l^MI iw^FF;6
意料中	j^II iM^MF;3 l^MI iw^MF;6 dz^MI uM^MM;1 N^FF
意料之外	j^II iM^MF;3 l^MI iw^MF;6 dz^MI iM^MF;1 N^MI OMj^FF;6
意见	j^II iM^MF;3 g^MI iM^MM;3 n^FF
意识	j^II iM^MF;3 s^MI iM^MM;1 k^FF
感	g^II M6^MM;2 m^FF
感兴	g^II M6^MM;2 m^MF h^MI iM^MM;3 N^FF
感兴趣	g^II M6^MM;2 m^MF h^MI iM^MM;3 N^MF ts^MI M9y^FF;3
感到	g^II M6^MM;2 m^MF d^MI ow^FF;3
感动	g^II M6^MM;2 m^MF d^MI uM^MM;6 N^FF
感化	g^II M6^MM;2 m^MF f^MI aM^FF;3
感受	g^II M6^MM;2 m^MF s^MI M6w^FF;6
感应	g^II M6^MM;2 m^MF j^MI iM^MM;3 N^FF
感应器	g^II M6^MM;2 m^MF j^MI iM^MM;3 N^MF h^MI ej^FF;3
感情	g^II M6^MM;2 m^MF ts^MI iM^MM;4 N^FF
感染	g^II M6^MM;2 m^MF j^MI iM^MM;5 m^FF
感观	g^II M6^MM;2 m^MF g^MI uM^MM;1 n^FF
感觉	g^II M6^MM;2 m^MF g^MI OM^MM;3 k^FF
感谢	g^II M6^MM;2 m^MF dz^MI EM^FF;6
感谢上帝	g^II M6^MM;2 m^MF dz^MI EM^MF;6 s^MI M9M^MM;6 N^MF d^MI M6j^FF;3
愤愤	f^II M6^MM;5 n^MF f^MI M6^MM;5 n^FF
愤愤不平	f^II M6^MM;5 n^MF f^MI M6^MM;5 n^MF b^MI M6^MM;1 t^MF p^MI iM^MM;4 N^FF
愧为	kw^II M6j^MF;5 w^MI M6j^FF;4
愿	j^II yM^MM;6 n^FF
慢	m^II aM^MM;6 n^FF
慢慢	m^II aM^MM;6 n^MF m^MI aM^MM;6 n^FF
慧	w^II M6j^FF;6
慷	h^II OM^MM;2 N^FF
懂	d^II uM^MM;2 N^FF
懂得	d^II uM^MM;2 N^MF d^MI M6^MM;1 k^FF
懊恼	N^II ow^MF;3 n^MI ow^FF;5
懵	m^II uM^MM;2 N^FF
戏	h^II ej^FF;3
戏剧	h^II ej^MF;3 k^MI EM^MM;6 k^FF
戏剧性	h^II ej^MF;3 k^MI EM^MM;6 k^MF s^MI iM^MM;3 N^FF
戏弄	h^II ej^MF;3 l^MI uM^MM;6 N^FF
戏曲	h^II ej^MF;3 k^MI uM^MM;1 k^FF
戏票	h^II ej^MF;3 p^MI iw^FF;3
戏路	h^II ej^MF;3 l^MI ow^FF;6
成	s^II iM^MM;4 N^FF
成为	s^II iM^MM;4 N^MF w^MI M6j^FF;4
成交	s^II iM^MM;4 N^MF g^MI aMw^FF;1
成交价	s^II iM^MM;4 N^MF g^MI aMw^MF;1 g^MI aM^FF;3
成交量	s^II iM^MM;4 N^MF g^MI aMw^MF;1 l^MI M9M^MM;6 N^FF
成人	s^II iM^MM;4 N^MF j^MI M6^MM;4 n^FF
成份	s^II iM^MM;4 N^MF f^MI M6^MM;6 n^FF
成功	s^II iM^MM;4 N^MF g^MI uM^MM;1 N^FF
成功经验	s^II iM^MM;4 N^MF g^MI uM^MM;1 N^MF g^MI iM^MM;1 N^MF j^MI iM^MM;6 m^FF
成员	s^II iM^MM;4 N^MF j^MI yM^MM;4 n^FF
成器	s^II iM^MM;4 N^MF h^MI ej^FF;3
成效	s^II iM^MM;4 N^MF h^MI aMw^FF;6
成数	s^II iM^MM;4 N^MF s^MI ow^FF;3
成日	s^II iM^MM;4 N^MF j^MI M6^MM;6 t^FF
成本	s^II iM^MM;4 N^MF b^MI uM^MM;2 n^FF
成本高	s^II iM^MM;4 N^MF b^MI uM^MM;2 n^MF g^MI ow^FF;1
成果	s^II iM^MM;4 N^MF gw^MI OM^FF;2
成灾	s^II iM^MM;4 N^MF dz^MI OMj^FF;1
成熟	s^II iM^MM;4 N^MF s^MI uM^MM;6 k^FF
成真	s^II iM^MM;4 N^MF dz^MI M6^MM;1 n^FF
成眠	s^II iM^MM;4 N^MF m^MI iM^MM;4 n^FF
成立	s^II iM^MM;4 N^MF l^MI aM^MM;6 p^FF
成绩	s^II iM^MM;4 N^MF dz^MI iM^MM;1 k^FF
成绩单	s^II iM^MM;4 N^MF dz^MI iM^MM;1 k^MF d^MI aM^MM;1 n^FF
成群	s^II iM^MM;4 N^MF kw^MI M6^MM;4 n^FF
成都	s^II iM^MM;4 N^MF d^MI ow^FF;1
成钢	s^II iM^MM;4 N^MF g^MI OM^MM;3 N^FF
成长	s^II iM^MM;4 N^MF dz^MI M9M^MM;2 N^FF
成问题	s^II iM^MM;4 N^MF m^MI M6^MM;6 n^MF t^MI M6j^FF;4
成龙	s^II iM^MM;4 N^MF l^MI uM^MM;4 N^FF
我	OM^II;5
我们	N^II OM^MF;5 m^MI uM^MM;4 n^FF
我会	OM^II;5 w^MI uMj^FF;3
我心	N^II OM^MF;5 s^MI M6^MM;1 m^FF
戒备	g^II aMj^MF;3 b^MI ej^FF;6
戒指	g^II aMj^MF;3 dz^MI iM^FF;2
或	w^II aM^MM;6 k^FF
或是	w^II aM^MM;6 k^MF s^MI iM^FF;6
或者	w^II aM^MM;6 k^MF dz^MI EM^FF;2
或许	w^II aM^MM;6 k^MF h^MI M9y^FF;2
战	dz^II iM^MM;3 n^FF
战争	dz^II iM^MM;3 n^MF dz^MI M6^MM;1 N^FF
战全胜	dz^II iM^MM;3 n^MF ts^MI yM^MM;4 n^MF s^MI iM^MM;3 N^FF
战国	s^II iM^MM;3 n^MF gw^MI OM^MM;3 k^FF
战国时期	s^II iM^MM;3 n^MF gw^MI OM^MM;3 k^MF s^MI iM^MF;4 k^MI ej^FF;4
战场	dz^II iM^MM;3 n^MF ts^MI M9M^MM;4 N^FF
战情	dz^II iM^MM;3 n^MF ts^MI iM^MM;4 N^FF
战技	dz^II iM^MM;3 n^MF g^MI ej^FF;6
战术	dz^II iM^MM;3 n^MF s^MI M9M^MM;6 t^FF
战机	dz^II iM^MM;3 n^MF g^MI ej^FF;1
